Group,Ind,P1,P2,P3,P4,P5
1,CB0421,1.00E-04,0.9996,1.00E-04,1.00E-04,1.00E-04
1,CB0422,0.103011,0.455332,0.299702,0.0719629,0.0699926
1,CB0425,0.109654,0.353563,0.342184,0.104779,0.0898202
1,CB0430,0.0124818,0.811769,0.138774,0.0199713,0.017004
1,CB0431,0.145202,0.351626,0.301041,0.115324,0.0868067
1,CB0432,1.00E-04,0.937959,0.0617411,1.00E-04,1.00E-04
1,CB0433,0.116499,0.418954,0.309319,0.0817333,0.0734941
1,CB0434,0.0292683,0.827392,0.139049,1.00E-04,0.00419059
1,CB0435,0.105892,0.476146,0.276216,0.0717523,0.0699932
1,CB0436,1.00E-04,0.90235,0.0952255,1.00E-04,0.00222506
1,CB0437,0.117539,0.401209,0.316897,0.0877325,0.0766228
1,CB0438,0.101414,0.585544,0.226737,0.047302,0.0390019
1,CB0439,0.0218748,0.807118,0.149992,0.00324906,0.0177662
1,CB0442,1.00E-04,0.935165,0.0645354,1.00E-04,1.00E-04
1,CB0444,0.0186496,0.795756,0.144926,0.0104068,0.0302622
1,CB0445,0.0663696,0.492427,0.274912,0.0793517,0.0869398
1,CB0446,0.04329,0.612129,0.246566,0.0336332,0.0643823
1,CB0447,1.00E-04,0.903464,0.0812525,1.00E-04,0.0150837
1,CB0449,0.0941,0.572124,0.238441,0.0536115,0.0417235
1,CB0450,1.00E-04,0.945574,0.0541257,1.00E-04,1.00E-04
2,CB0451,0.116247,0.212328,0.233466,0.388641,0.0493187
2,CB0452,0.062427,0.160437,0.115069,0.609985,0.0520828
2,CB0453,0.132434,0.245978,0.300009,0.229723,0.091855
2,CB0454,0.149488,0.285428,0.318552,0.180528,0.0660038
2,CB0455,0.110829,0.230248,0.250535,0.336711,0.0716776
2,CB0456,0.0410342,1.00E-04,0.0334829,0.925283,1.00E-04
2,CB0457,0.084661,0.228738,0.24371,0.363385,0.0795061
2,CB0458,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04
2,CB0459,0.0623771,0.112697,0.144892,0.649874,0.0301589
2,CB0460,0.132797,0.203009,0.319599,0.298427,0.0461686
