longitude,latitude,pops,individuals
-105.044361,19.498028,3,CB0421
-105.044361,19.498028,3,CB0422
-105.044361,19.498028,3,CB0425
-105.044361,19.498028,3,CB0430
-105.044361,19.498028,3,CB0431
-105.044361,19.498028,3,CB0432
-105.044361,19.498028,3,CB0433
-105.044361,19.498028,3,CB0434
-105.044361,19.498028,3,CB0435
-105.044361,19.498028,3,CB0436
-105.044361,19.498028,3,CB0437
-105.044361,19.498028,3,CB0438
-105.044361,19.498028,3,CB0439
-105.044361,19.498028,3,CB0442
-105.044361,19.498028,3,CB0444
-105.044361,19.498028,3,CB0445
-105.044361,19.498028,3,CB0446
-105.044361,19.498028,3,CB0447
-105.044361,19.498028,3,CB0449
-105.044361,19.498028,3,CB0450
-105.250278,19.771,1,CB0451
-105.250278,19.771,1,CB0452
-105.250278,19.771,1,CB0453
-105.250278,19.771,1,CB0454
-105.250278,19.771,1,CB0455
-105.250278,19.771,1,CB0456
-105.250278,19.771,1,CB0457
-105.250278,19.771,1,CB0458
-105.250278,19.771,1,CB0459
-105.250278,19.771,1,CB0460
-105.250278,19.771,1,CB0461
-105.250278,19.771,1,CB0462
-105.250278,19.771,1,CB0463
-105.250278,19.771,1,CB0464
-105.250278,19.771,1,CB0465
-105.250278,19.771,1,CB0466
-105.250278,19.771,1,CB0468
-105.098,19.888917,2,CB0481
-105.098,19.888917,2,CB0482
-105.098,19.888917,2,CB0483
-105.098,19.888917,2,CB0485
-105.098,19.888917,2,CB0486
-105.098,19.888917,2,CB0487
-105.098,19.888917,2,CB0488
-105.098,19.888917,2,CB0489
-105.098,19.888917,2,CB0490
-105.098,19.888917,2,CB0491
-105.098,19.888917,2,CB0492
-104.878861,19.61925,5,CB0516
-104.878861,19.61925,5,CB0517
-104.878861,19.61925,5,CB0518
-104.878861,19.61925,5,CB0519
-104.878861,19.61925,5,CB0520
-104.802722,19.658917,7,CB0543
-104.802722,19.658917,7,CB0544
-104.802722,19.658917,7,CB0545
-104.802722,19.658917,7,CB0546
-104.802722,19.658917,7,CB0547
-104.802722,19.658917,7,CB0548
-104.802722,19.658917,7,CB0549
-104.802722,19.658917,7,CB0550
-104.802722,19.658917,7,CB0551
-104.802722,19.658917,7,CB0552
-104.802722,19.658917,7,CB0553
-104.802722,19.658917,7,CB0554
-104.802722,19.658917,7,CB0555
-104.802722,19.658917,7,CB0556
-104.802722,19.658917,7,CB0557
-104.802722,19.658917,7,CB0559
-104.802722,19.658917,7,CB0561
-104.518139,19.247167,9,CB0573
-104.518139,19.247167,9,CB0574
-104.518139,19.247167,9,CB0576
-104.518139,19.247167,9,CB0577
-104.518139,19.247167,9,CB0578
-104.518139,19.247167,9,CB0579
-104.518139,19.247167,9,CB0584
-104.518139,19.247167,9,CB0586
-104.518139,19.247167,9,CB0588
-104.518139,19.247167,9,CB0589
-104.518139,19.247167,9,CB0590
-104.518139,19.247167,9,CB0591
-104.518139,19.247167,9,CB0593
-104.518139,19.247167,9,CB0598
-104.766306,19.289806,8,CB0603
-104.766306,19.289806,8,CB0605
-104.766306,19.289806,8,CB0607
-104.766306,19.289806,8,CB0608
-104.766306,19.289806,8,CB0610
-104.766306,19.289806,8,CB0611
-104.766306,19.289806,8,CB0612
-104.766306,19.289806,8,CB0613
-104.766306,19.289806,8,CB0614
-104.766306,19.289806,8,CB0615
-104.766306,19.289806,8,CB0616
-104.766306,19.289806,8,CB0617
-104.766306,19.289806,8,CB0618
-104.766306,19.289806,8,CB0620
-104.766306,19.289806,8,CB0621
-104.766306,19.289806,8,CB0622
-104.766306,19.289806,8,CB0623
-104.766306,19.289806,8,CB0625
-104.766306,19.289806,8,CB0626
-104.766306,19.289806,8,CB0627
-104.932528,19.332889,4,CB0633
-104.932528,19.332889,4,CB0634
-104.932528,19.332889,4,CB0635
-104.932528,19.332889,4,CB0636
-104.932528,19.332889,4,CB0637
-104.932528,19.332889,4,CB0638
-104.932528,19.332889,4,CB0639
-104.932528,19.332889,4,CB0640
-104.932528,19.332889,4,CB0641
-104.932528,19.332889,4,CB0642
-104.932528,19.332889,4,CB0643
-104.932528,19.332889,4,CB0644
-104.932528,19.332889,4,CB0645
-104.932528,19.332889,4,CB0646
-104.932528,19.332889,4,CB0647
-104.932528,19.332889,4,CB0648
-104.932528,19.332889,4,CB0649
-104.932528,19.332889,4,CB0650
-104.932528,19.332889,4,CB0651
-104.932528,19.332889,4,CB0652
-104.932528,19.332889,4,CB0653
-104.932528,19.332889,4,CB0654
-104.932528,19.332889,4,CB0655
-104.932528,19.332889,4,CB0656
-104.932528,19.332889,4,CB0659
-104.932528,19.332889,4,CB0660
-104.932528,19.332889,4,CB0662
-104.849972,19.611222,6,CB0663
-104.849972,19.611222,6,CB0664
-104.849972,19.611222,6,CB0665
-104.849972,19.611222,6,CB0667
-104.849972,19.611222,6,CB0668
-104.849972,19.611222,6,CB0670
-104.849972,19.611222,6,CB0671
-104.849972,19.611222,6,CB0672
-104.849972,19.611222,6,CB0673
-104.849972,19.611222,6,CB0674
-104.849972,19.611222,6,CB0676
-104.849972,19.611222,6,CB0677
-104.849972,19.611222,6,CB0678
-104.849972,19.611222,6,CB0679
-104.849972,19.611222,6,CB0680
-104.849972,19.611222,6,CB0681
-104.849972,19.611222,6,CB0682
-104.849972,19.611222,6,CB0683
-104.849972,19.611222,6,CB0684
-104.849972,19.611222,6,CB0685
-104.849972,19.611222,6,CB0686
-104.849972,19.611222,6,CB0687
-104.849972,19.611222,6,CB0688
-104.849972,19.611222,6,CB0689
-104.849972,19.611222,6,CB0690
