Group,Ind,locality,pop,q,likely_assignment,assignment_prob,name,longitude,latitude
1,CB0421,ST,P1,1e-4,P3,0.9998,P. benedetti,-105.044361,19.498028
1,CB0421,ST,P2,1e-4,P3,0.9998,P. benedetti,-105.044361,19.498028
1,CB0421,ST,P3,0.9998,P3,0.9998,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P1,0.0781679,P3,0.791278,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P2,0.130554,P3,0.791278,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P3,0.791278,P3,0.791278,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P1,0.107632,P3,0.717858,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P2,0.17451,P3,0.717858,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P3,0.717858,P3,0.717858,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P1,0.0193667,P3,0.959899,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P2,0.0207344,P3,0.959899,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P3,0.959899,P3,0.959899,P. benedetti,-105.044361,19.498028
1,CB0431,ST,P1,0.116944,P3,0.703668,P. benedetti,-105.044361,19.498028
1,CB0431,ST,P2,0.179389,P3,0.703668,P. benedetti,-105.044361,19.498028
1,CB0431,ST,P3,0.703668,P3,0.703668,P. benedetti,-105.044361,19.498028
1,CB0432,ST,P1,1e-4,P3,0.9998,P. benedetti,-105.044361,19.498028
1,CB0432,ST,P2,1e-4,P3,0.9998,P. benedetti,-105.044361,19.498028
1,CB0432,ST,P3,0.9998,P3,0.9998,P. benedetti,-105.044361,19.498028
1,CB0433,ST,P1,0.0927472,P3,0.756671,P. benedetti,-105.044361,19.498028
1,CB0433,ST,P2,0.150582,P3,0.756671,P. benedetti,-105.044361,19.498028
1,CB0433,ST,P3,0.756671,P3,0.756671,P. benedetti,-105.044361,19.498028
1,CB0434,ST,P1,1e-4,P3,0.978597,P. benedetti,-105.044361,19.498028
1,CB0434,ST,P2,0.0213031,P3,0.978597,P. benedetti,-105.044361,19.498028
1,CB0434,ST,P3,0.978597,P3,0.978597,P. benedetti,-105.044361,19.498028
